Tên sản phẩm,Giá bán cũ,Giá mới,warranty,condition,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành (tháng),Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước,Trọng lượng sản phẩm,Chuẩn kháng nước / Bụi bẩn,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Màu màn hình,Tần số quét,Chất liệu mặt kính,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Bộ nhớ còn lại,Danh bạ lưu trữ,Thẻ nhớ ngoài,Số camera sau,Camera,Resolution,Aperture,Quay phim,Tính năng,Số Camera Selfie,Cảm biến,Bảo mật,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Số khe SIM,Thẻ SIM,Loại PIN,Dung lượng pin,OS,Version,Phụ kiện trong hộp,Hỗ trợ thẻ nhớ tối đa,Tỷ lệ diện tích sử dụng màn hình,Loại RAM,Kích thước màn hình phụ,Tỷ lệ màn hình,Mật độ điểm ảnh,Độ tương phản,Độ phủ màu,Pixel size,CPU,Pixel Size,Camera Type 1,Camera Type 2,Camera Type 3,Quay phim camera sau,Quay phim camera seflie,Tính năng camera selfie,Tính năng đặc biệt,Sensor,Type,Quay phim camera selfie
Xiaomi Redmi Note 12 4GB-128GB (Demo),,Not available,1 tháng,Trầy xước ít,Trung Quốc,04/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.66 x 75.96 x 7.85,183.5 g,IP53,,Snapdragon 685,Octa-Core,8,2.85 GHz,4 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120 Hz,Gorilla Glass 3,,700 nits,Adreno 610,128 GB,,Không giới hạn,MicroSD,Triple rear camera,Wide - Ultra Wide - Macro lens,50.0 MP - 8.0 MP - 2.0 MP - 13.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.45,,,Single selfie camera,,Mở khoá vân tay cạnh viền,4G,Cổng sạc: Type C,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz),,v5.0,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0,Sách HDSD Sạc Ốp lưng Que lấy SIM Cáp,1 TB,,LPDDR4X,,,,,,0.64 µm,,,,,,,,,,,,
Masstel Lux 20 4G,228.140 ₫,Not available,1 tháng,Trầy xước ít,,,1,,,,,,,,,,,,,,,,,,,,,,128 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPPO A77s 8GB,3.637.150 ₫,6.290.000 ₫,1 tháng,Trầy xước nhiều,Trung Quốc,10/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,163.4 x 75.03 x 7.99,187 g,Không,Khung máy: Nhựa Mặt lưng máy: Thủy tinh hữu cơ,Snapdragon 680,Octa-Core,8,2.4 GHz,8 GB,6.56 inch,LCD,HD+,720 x 1612 Pixels,16 Triệu,90 Hz,Kính cường lực Panda,Điện dung đa điểm,,Adreno 610,128 GB,,Không giới hạn,MicroSD,Double rear camera,Standard - Depth,50.0 MP - 2.0 MP - 8.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.0,FullHD 1080p@30fps HD 720p@30fps - Quay phim HD,Tự động lấy nét (AF) Xóa phông Lấy nét laser Chụp góc rộng (Wide) HDR A.I Camera Làm đẹp (Beautify) Gắn thẻ ảnh địa lý Flash LED Trôi nhanh thời gian (Time Lapse) Chuyên nghiệp (Pro) Toàn cảnh (Panorama) - A.I Camera Tự động lấy nét (AF) Xoá phông HDR Làm đẹp (Beautify) Nhãn dán (AR Stickers) Nhận diện khuôn mặt,Single selfie camera,Cảm biến la bàn Cảm biến vân tay Cảm biến trọng lực Cảm biến ánh sáng Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khoá vân tay cạnh viền Mở khóa khuôn mặt,4G,Audio Jack: Jack 3.5 mm Cổng sạc: Type C,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz),GPS,v5.0,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 12 (ColorOS 12.1),Sách HDSD Sạc Cáp Que lấy SIM Ốp lưng,1 TB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A54 5G,5.060.880 ₫,Not available,1 tháng,Trầy xước nhiều,,,1,,,,202 g,IP67,,,,,,8 GB,,,,,,,,,,,128 GB,,,,,,,,,,,,,,Type C,,,,,,,,,,Android 12,,,,,,,,,,,,,,,,,,,,,,
Redmi 10 2022 4GB,2.296.800 ₫,4.290.000 ₫,3 tháng,Trầy xước ít,Trung Quốc,04/2022,3,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,161.9 x 75.5 x 8.9,181 g,Không,Mặt lưng máy: Nhựa,MediaTek Helio G88,Octa-Core,8,2 GHz,4 GB,6.5 inch,IPS LCD,FHD+,1080 x 2400 Pixels,16 Triệu,90 Hz,Gorilla Glass 3,Điện dung đa điểm,,Mali-G52 MC2,128 GB,,Tùy bộ nhớ,MicroSD,Quad rear camera,Standard - Ultra Wide - Depth - Macro lens,50.0 MP - 8.0 MP - 2.0 MP - 2.0 MP - 8.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.4 - ƒ/2.0,FullHD 1080p@30fps HD 720p@30fps - Quay phim HD,Nhận diện khuôn mặt Chụp góc rộng (Wide) Ban đêm (Night Mode) Toàn cảnh (Panorama) A.I Camera Chụp chân dung Xóa phông Tự động lấy nét (AF) Gắn thẻ ảnh địa lý Quay chậm (Slow Motion) Lấy nét theo pha (PDAF) Làm đẹp (Beautify) Chụp góc siêu rộng (Ultrawide) HDR Flash LED Trôi nhanh thời gian (Time Lapse) - Nhận diện khuôn mặt HDR Tự động lấy nét (AF) A.I Camera Làm đẹp (Beautify),Single selfie camera,Hồng ngoại Cảm biến la bàn Con quay hồi chuyển Cảm biến vân tay Cảm biến trọng lực Cảm biến tiệm cận Cảm biến ánh sáng,Mở khóa khuôn mặt Mở khóa bằng mật mã,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,Wi-Fi Direct Dual-band (2.4 GHz/ 5 GHz) Wi-Fi Hotspot 802.11 a/b/g/n/ac,GPS,v5.1,Slot SIM/thẻ nhớ dùng chung,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 11,Sạc Que lấy SIM Sách HDSD Ốp lưng Cáp Micro-USB,512 GB,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 12S 8GB-256GB Demo,2.867.700 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,159.87 x 73.87 x 8.09,176 g,IP53,Mặt kính: Kính Gorilla Glass 3,MediaTek Helio G96,Octa-Core,8,2.05 GHz,8 GB,6.43 inch,AMOLED,FHD+,1080 x 2400 Pixels,,90 Hz,Gorilla Glass 3,Điện dung đa điểm,1000 nits,Mali-G57 MC2,256 GB,Khoảng 223 GB,Không giới hạn,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,108.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,ƒ/1.89 - ƒ/2.2 - ƒ/2.4 - ƒ/2.45,,,Single selfie camera,,Mở khóa bằng mật mã Mở khoá vân tay cạnh viền,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,,,v5.1,NFC,2,2 Nano SIM,,5000 mAh,Android,Android 13.0,Cáp Ốp lưng Que lấy SIM Sạc Sách HDSD,1 TB,,LPDDR4X,,,,,,0.70 µm,,,,,,,,,,,,
OPPO Reno8 T 5G 8GB,,Not available,1 tháng,Trầy xước ít,Trung Quốc,02/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,162.3 x 74.3 x 7.7,171 g,IPX4,Mặt lưng máy: Thủy tinh hữu cơ Khung máy: Hợp kim,Snapdragon 695 5G,Octa-Core,8,2.2 GHz,8 GB,6.7 inch,AMOLED,FHD+,1080 x 2412 Pixels,1 Tỷ,120 Hz,Kính cường lực AGC DT-Star2,Điện dung đa điểm,800 nits,Adreno 619,128 GB,,Không giới hạn,MicroSD,Triple rear camera,Standard - Depth - Macro lens,108.0 MP - 2.0 MP - 2.0 MP - 32.0 MP,ƒ/1.7 - ƒ/2.4 - f/3.3 - ƒ/2.4,HD 720p@30fps FullHD 1080p@30fps HD 1080p@60fps - Quay phim FullHD Quay phim HD,Làm đẹp (Beautify) Lấy nét laser Chụp góc siêu rộng (Ultrawide) Trôi nhanh thời gian (Time Lapse) Quay chậm (Slow Motion) Flash LED Chuyên nghiệp (Pro) A.I Camera Siêu cận (Macro) Chụp góc rộng (Wide) HDR Làm đẹp video Toàn cảnh (Panorama) Ban đêm (Night Mode) - Ban đêm (Night Mode) A.I Camera Làm đẹp (Beautify) Nhận diện khuôn mặt Tự động lấy nét (AF) Nhãn dán (AR Stickers),Single selfie camera,Cảm biến ánh sáng Cảm biến trọng lực Cảm biến tiệm cận Cảm biến la bàn Con quay hồi chuyển,Mở khóa khuôn mặt Mở khóa vân tay dưới màn hình Mở khóa bằng mật mã,4G 5G,,Wi-Fi Hotspot 802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz),A-GPS,v5.1,OTG,2,2 Nano SIM,Lithium polymer,4800 mAh,Android,Android 13.0 (ColorOS 13),Sách HDSD Sạc Cáp Que lấy SIM,1 TB,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 11 Pro,4.763.000 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,01/2022,1,,,76.2 x 8.3 x 163.7,207 g,,Mặt lưng máy: Kính Viền máy: Nhựa,MediaTek Helio G96,Octa-Core,8,205 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120 Hz,,Điện dung đa điểm,,,128 GB,,Không giới hạn,MicroSD,Quad rear camera,Standard - Wide - Super Wide + Super Macro - Macro lens,108.0 MP - 8.0 MP - 2.0 MP - 2.0 MP - 16.0 MP,,,,Single selfie camera,Hồng ngoại Cảm biến vân tay Cảm biến la bàn Cảm biến ánh sáng Cảm biến tiệm cận Con quay hồi chuyển Cảm biến trọng lực,Mở khóa bằng mật mã Mở khóa khuôn mặt,4G,,,GPS GALILEO BEIDOU GLONASS,Có,OTG Radio FM,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 11,Sạc Ốp lưng Sách HDSD Cáp ổ cứng,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 12 Pro 8GB,4.672.800 ₫,7.990.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.2 x 76.1 x 8.12,201.8 g,IP53,Mặt kính: Kính Gorilla Glass 5,Snapdragon 732G,,8,2.2 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120 Hz,Gorilla Glass 5,,1100 nits,Adreno 618,256 GB,Khoảng 223 GB,Không giới hạn,MicroSD,Quad rear camera,Standard - Ultra Wide - Depth - Macro lens,108.0 MP - 8.0 MP - 2.0 MP - 2.0 MP - 16.0 MP,ƒ/1.9 - ƒ/2.2 - ƒ/2.4 - ƒ/2.4 - ƒ/2.4,,,Single selfie camera,,Mở khóa bằng mật mã Mở khóa khuôn mặt Mở khoá vân tay cạnh viền,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 a/b/g/n/ac,,,NFC Slot SIM/thẻ nhớ dùng chung,2,2 Nano SIM,,5000 mAh,Android,Android 11,Cáp Sách HDSD Que lấy SIM Ốp lưng,1 TB,,LPDDR4X,,,,,,0.70 µm,,,,,,,,,,,,
Vivo Y35 8GB,3.613.500 ₫,6.990.000 ₫,2 tháng,,Trung Quốc,10/2022,2,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.3 x 76.1 x 8.28,188 g,IP54,Vỏ thân máy: Polymer,Snapdragon 680,,8,2.4 GHz,8 GB,6.58 inch,Chính: LCD,FHD+,2408 x 1080 Pixels,16.7 Triệu,90 Hz,,Điện dung đa điểm,550 nits,Adreno 610,128 GB,Khoảng 113 GB,,MicroSD,Triple rear camera,Standard - Bokeh - Macro lens,50.0 MP - 2.0 MP - 2.0 MP - 16.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.4 - ƒ/2.0,,Chuyên nghiệp (Pro) Toàn cảnh (Panorama) Chụp chân dung Quay chậm (Slow Motion) Ban đêm (Night Mode) - Ban đêm (Night Mode),,Cảm biến ánh sáng Cảm biến trọng lực Cảm biến la bàn Con quay hồi chuyển Cảm biến vân tay Cảm biến tiệm cận,Mở khóa khuôn mặt Mật khẩu Mở khoá vân tay cạnh viền,4G,Type C,802.11 a/b/g/n/ac Wi-Fi Hotspot Wi-Fi Direct,BEIDOU GALILEO GLONASS GPS QZSS,v5.0,Radio FM OTG,2,2 Nano SIM,Lithium-ion,5000 mAh,Android,Android 12,Miếng dán màn hình Sách HDSD Ốp lưng Sạc Dây sạc Que lấy SIM,1 TB,90.6%,LPDDR4X,,,401 ppi,1500:1,,0.64 µm - 1.75 µm - 1.00 µm,4 x Cortex-A73 + 4 x Cortex-A53,1.75 µm,,,,,,,,,CMOS - CMOS - CMOS - CMOS,
Redmi Note 12 Pro 5G 8GB-256GB - Demo,4.504.830 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,162.9 x 76 x 7.9,187 g,IP53,,MediaTek Dimensity 1080,Octa-Core,8,2.6 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120 Hz,Gorilla Glass 5,,900 nits,Mali-G68 MC4,256 GB,,Không giới hạn,Không,Triple rear camera,Wide - Ultra Wide - Macro lens,50.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,ƒ/2.2 - ƒ/2.4 - ƒ/2.45,,Chống rung quang học (OIS),Single selfie camera,,,4G 5G,Audio Jack: Jack 3.5 mm Cổng sạc: Type C,,,v5.2,,2,,Lithium-ion,5000 mAh,Android,Android 12,Sạc Cáp Que lấy SIM Ốp lưng Sách HDSD,,,LPDDR4X,,,,,,1.00 µm,,,,,,,,,,Sony IMX766,,
Xiaomi Redmi Note 12 Pro 8GB-256GB Demo,3.634.400 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.2 x 76.1 x 8.12,201.8 g,IP53,Mặt kính: Kính Gorilla Glass 5,Snapdragon 732G,Octa-Core,8,2.2 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120 Hz,Gorilla Glass 5,Điện dung đa điểm,1100 nits,Adreno 618,256 GB,Khoảng 223 GB,Không giới hạn,MicroSD,Quad rear camera,Standard - Ultra Wide - Depth - Macro lens,108.0 MP - 8.0 MP - 2.0 MP - 2.0 MP - 16.0 MP,ƒ/1.9 - ƒ/2.2 - ƒ/2.4 - ƒ/2.4 - ƒ/2.4,,,Single selfie camera,,Mở khóa bằng mật mã Mở khóa khuôn mặt Mở khoá vân tay cạnh viền,4G,Audio Jack: Jack 3.5 mm,802.11 a/b/g/n/ac,,,NFC Slot SIM/thẻ nhớ dùng chung,2,2 Nano SIM,,5000 mAh,Android,Android 11,Cáp Ốp lưng Que lấy SIM Sạc Sách HDSD,1 TB,,LPDDR4X,,,,,,0.70 µm,,,,,,,,,,,,
Xiaomi Redmi 10A 3GB,1.600.500 ₫,3.290.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,07/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.9 x 77.1 x 9.0,194 g,,Mặt lưng máy: Nhựa,Helio G25,Octa-Core,8,2 GHz,3 GB,6.53 inch,IPS LCD,HD+,720 x 1600 Pixels,16 Triệu,,Gorilla Glass 3,Điện dung đa điểm,400 nits,PowerVR GE8320,64 GB,,Không giới hạn,MicroSD,Double rear camera,Standard - Depth,13.0 MP - 2.0 MP - 5.0 MP,ƒ/2.2,FullHD 1080p@30fps HD 720p@30fps - Quay phim HD,Gắn thẻ ảnh địa lý Flash LED Làm đẹp (Beautify) Zoom kỹ thuật số Tự động lấy nét (AF) Chụp chân dung A.I Camera Xóa phông Cài đặt cân bằng trắng HDR ISO Setting Nhận diện khuôn mặt - Làm đẹp (Beautify) Nhận diện khuôn mặt Tự động lấy nét (AF),Single selfie camera,Cảm biến gia tốc Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khóa vân tay,4G,Micro-USB,802.11 a/b/g/n,A-GPS BDS BEIDOU GLONASS,v5.0,Jack 3.5 mm,2,2 Nano SIM,Lithium-ion,50000 mAh,Android,Android 11,Cáp Sạc Que lấy SIM Sách HDSD,1 TB,81%,,,20:9,268 ppi,1500:1,,,8 x Cortex A53 2.0 GHz,,,,,,,,,,,
Masstel Hapi 30 4G,957.000 ₫,1.990.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,12/2021,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,159 x 76.7 x 9.65,185 g,,Khung máy: Nhựa Mặt lưng máy: Nhựa,Spreadtrum SC9863A,Octa-Core,8,1.6 GHz,3 GB,6.26 inch,IPS,HD+,720 x 1520 Pixels,16 Triệu,,Kính thường,Điện dung đa điểm,,GE8322 550MHz,32 GB,Khoảng 24 GB,Không giới hạn,MicroSD,Single rear camera,,8.0 MP - 5.0 MP,,,HDR A.I Camera Toàn cảnh (Panorama) Flash LED Làm đẹp (Beautify) ISO Setting Tự động lấy nét (AF) Nhận diện khuôn mặt Zoom kỹ thuật số,Single selfie camera,Cảm biến trọng lực,Mở khóa bằng mật mã Mở khoá vân tay cạnh viền,4G,Audio Jack: Jack 3.5 mm Cổng sạc: Micro-USB,802.11 a/b/g/n,,v4.2,Radio FM,2,2 Nano SIM,Lithium-ion,3000 mAh,Android,Android 11,Ốp lưng Thẻ bảo hành Sạc Tai nghe Cáp,128 GB,,,,,,,,,,,Standard,,,HD 720p@30fps,,,,,,Quay phim HD
Samsung Galaxy Z Fold4,14.557.510 ₫,40.990.000 ₫,1 tháng,Trầy xước nhiều,Việt Nam,08/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,155.1 x 130.1 x 6.3,271 g,Có,Mặt lưng máy: Kính cường lực Khung máy: Kim loại,Snapdragon 8+ Gen 1,Octa-Core,8,,12 GB,7.6 inch,Dynamic AMOLED 2X,WXGA+,1768 x 2208 Pixels,16 Triệu,120 Hz,,Điện dung đa điểm,1200 nits,,256 GB,,Không giới hạn,Không,Triple rear camera,Wide - Ultra Wide - Telephoto,50.0 MP - 12.0 MP - 10.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.2,FullHD 1080p@240fps HD 720p@960fps - Quay phim FullHD Quay phim HD,Chụp góc rộng (Wide) Chuyên nghiệp (Pro) Ban đêm (Night Mode) Xóa phông Tự động lấy nét (AF) Lấy nét laser Toàn cảnh (Panorama) Nhận diện khuôn mặt A.I Camera Lấy nét theo pha (PDAF) Quay chậm (Slow Motion) Chụp góc siêu rộng (Ultrawide) Gắn thẻ ảnh địa lý Chống rung quang học (OIS) Ổn định hình ảnh quang học Zoom quang học HDR Cài đặt cân bằng trắng Làm đẹp video Zoom kỹ thuật số Flash LED Làm đẹp (Beautify) Trôi nhanh thời gian (Time Lapse) ISO Setting - Nhãn dán (AR Stickers) HDR Làm đẹp (Beautify) Tự động lấy nét (AF) Nhận diện khuôn mặt A.I Camera Xoá phông,Single selfie camera,Cảm biến la bàn Cảm biến vân tay Cảm biến tiệm cận Cảm biến ánh sáng,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G 4G,,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac/ax Wi-Fi Direct Wi-Fi Hotspot,GALILEO A-GPS QZSS GLONASS,v5.2,Radio FM NFC OTG Computer sync,2,"1 eSIM, 1 Nano SIM",Lithium-ion,4400 mAh,Android,Android 12,Cáp Sách HDSD Que lấy SIM,,88%,LPDDR5,6.2 inch,21:9,,,,,,,,,,,,,,,,
Vivo Y35 8GB-128GB Demo,3.088.800 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,10/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.3 x 76.1 x 8.28,188 g,IP54,Vỏ thân máy: Polymer,Snapdragon 680,,8,2.4 GHz,8 GB,6.58 inch,Chính: LCD,FHD+,2408 x 1080 Pixels,16.7 Triệu,90 Hz,,Điện dung đa điểm,550 nits,Adreno 610,128 GB,Khoảng 113 GB,,MicroSD,Triple rear camera,Standard - Bokeh - Macro lens,50.0 MP - 2.0 MP - 2.0 MP - 16.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.4 - ƒ/2.0,,Chuyên nghiệp (Pro) Ban đêm (Night Mode) Toàn cảnh (Panorama) Quay chậm (Slow Motion) Chụp chân dung - Ban đêm (Night Mode),,Cảm biến la bàn Cảm biến ánh sáng Cảm biến tiệm cận Cảm biến vân tay Con quay hồi chuyển Cảm biến trọng lực,Mở khóa khuôn mặt Mật khẩu Mở khoá vân tay cạnh viền,4G,Type C,802.11 a/b/g/n/ac Wi-Fi Hotspot Wi-Fi Direct,BEIDOU QZSS GALILEO GLONASS GPS,v5.0,Radio FM OTG,2,2 Nano SIM,Lithium-ion,5000 mAh,Android,Android 12,Miếng dán màn hình Ốp lưng Sạc Que lấy SIM Dây sạc Sách HDSD,1 TB,90.6%,LPDDR4X,,,401 ppi,1500:1,,0.64 µm - 1.75 µm - 1.00 µm,4 x Cortex-A73 + 4 x Cortex-A53,1.75 µm,,,,,,,,,CMOS - CMOS - CMOS - CMOS,
Vivo Y16 4GB-128GB Demo,2.018.280 ₫,Not available,1 tháng,Không trầy xước,Trung Quốc,09/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,163.95x75.55x8.19,183 g,IP52,Mặt lưng máy: Polymer,Helio P35,,8,2.3 GHz,4 GB,6.51 inch,LCD,HD+,720 x 1600 Pixels,16.7 Triệu,60 Hz,,Điện dung đa điểm,400 nits,PowerVR GE8320,128 GB,Khoảng 113 GB,,MicroSD,Double rear camera,Standard - Macro lens,13.0 MP - 2.0 MP - 5.0 MP,ƒ/2.2 - ƒ/2.4 - ƒ/2.2,,Làm đẹp (Beautify) Trôi nhanh thời gian (Time Lapse) Toàn cảnh (Panorama) Chuyên nghiệp (Pro),,Cảm biến ánh sáng Cảm biến la bàn Con quay hồi chuyển Cảm biến tiệm cận Cảm biến gia tốc Cảm biến vân tay,Mở khóa khuôn mặt Mật khẩu Mở khoá vân tay cạnh viền Mở khóa bằng mật mã,4G,Type C,Dual-band (2.4 GHz/ 5 GHz),GLONASS A-GPS BEIDOU GALILEO,v5.0,OTG Radio FM,2,2 Nano SIM,Lithium-ion,5000 mAh,Android,Android 12,Sách HDSD Miếng dán màn hình Dây sạc Que lấy SIM Sạc,1 TB,,LPDDR4X,,20:9,269 ppi,1500:1,70% NTSC,1.12 µm - 1.12 µm,,1.75 µm,,,,,,,,,CMOS - CMOS - CMOS,
iPhone 14,13.390.300 ₫,Not available,12 tháng,Trầy xước ít,Trung Quốc,09/2022,12,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,172 g,,,Apple A15 Bionic,,6,,,6.1 inch,,Super Retina XDR,2532 x 1170 Pixels,,,,Điện dung đa điểm,2000 nits,,128 GB,,,Không,Double rear camera,,12.0 MP - 12.0 MP - 12.0 MP,,,,Single selfie camera,Cảm biến tiệm cận,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G,1 Lightning,,,,,1,"1 eSIM, 1 Nano SIM",,20 mAh,iOS,iOS 16,Cáp Sách HDSD Que lấy SIM,,,,,,,,,,,,Wide,Ultra Wide,,FullHD 1080p@30fps 4K 4230p@60fps FullHD 1080p@60fps HD 720p@30fps FullHD 1080p@25fps 4K 4230p@30fps 4K 4320p@24fps,,,,,,
V25E 8GB,4.908.750 ₫,Not available,1 tháng,Trầy xước nhiều,Trung Quốc,10/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,159.20 x 74.20 x 7.79,183 g,IP54,Mặt lưng máy: Kính,MediaTek Helio G99,8 - Core,8,2.2 GHz,8 GB,6.44 inch,AMOLED,FHD+,1080 x 2040 Pixel,16 Triệu,,Schott Xensation UP,Điện dung đa điểm,1000 nits,Mali-G57,128 GB,Khoảng 113 GB,Không giới hạn,MicroSD,Triple rear camera,Standard - Bokeh - Macro lens,64.0 MP - 2.0 MP - 2.0 MP - 32.0 MP,ƒ/1.79 - ƒ/2.4 - ƒ/2.4 - ƒ/2.0,,Ban đêm (Night Mode) Toàn cảnh (Panorama) Nhãn dán (AR Stickers) Trôi nhanh thời gian (Time Lapse) Quay video hiển thị kép Chụp chân dung - Nhãn dán (AR Stickers) Ban đêm (Night Mode),Single selfie camera,,,4G,,Wi-Fi Hotspot 802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz) Wi-Fi Direct,GLONASS BEIDOU QZSS GPS GALILEO,v5.2,OTG,2,2 Nano SIM,Lithium-ion,4500 mAh,Android,Android 12,Cáp Jack 3.5 mm Sách HDSD Ốp lưng Tai nghe Que lấy SIM Dây sạc Miếng dán màn hình Sạc,1 TB,91%,LPDDR4X,,20:9,409 ppi,,103% NTSC,0.70 µm - 1.75 µm - 0.80 µm,2 x Cortex-A76 2.20 GHz + 6 x Cortex-A55 2.00 GHz,1.75 µm,,,,,,,,,CMOS - CMOS - CMOS - CMOS,
